symbol,amount,price,buy_or_sell,date,id,Accumulated_Securities,Avg_Moving_Price,Taxable_Amount
941,1000.0,5.330205,BUY,2021-11-03,231506748,1000,5.330205,0.0
GPW,30.0,9.0542016,BUY,2021-12-07,272314639,30,9.0542016,0.0
GPW,28.0,9.0542016,BUY,2021-12-07,272314628,58,9.0542016,0.0
GPW,49.0,9.0542016,BUY,2021-12-07,272314647,107,9.0542016,0.0
GPW,86.0,9.0542016,BUY,2021-12-07,272314654,193,9.0542016,0.0
GPW,24.0,9.0542016,BUY,2021-12-07,272314744,217,9.0542016,0.0
GPW,41.0,9.0542016,BUY,2021-12-07,272314690,258,9.0542016,0.0
GPW,42.0,9.0542016,BUY,2021-12-07,272314746,300,9.054201599999999,0.0
RE4,9000.0,0.2173722,BUY,2021-11-03,231486914,9000,0.2173722,0.0
RE4,-9000.0,0.22426379999999996,SELL,2021-11-17,246451681,0,0.2173722,62.02439999999973
RE4,10000.0,0.21831280000000003,BUY,2021-11-19,249680202,10000,0.21831280000000003,0.0
RE4,11000.0,0.17721275000000003,BUY,2021-11-30,261315270,21000,0.19678420238095243,0.0
RE4,-2100.0,0.1876039,SELL,2021-12-03,267423025,18900,0.19678420238095243,-19.27863500000012
RE4,-1100.0,0.1876039,SELL,2021-12-03,267424577,17800,0.19678420238095243,-10.098332619047682
RE4,-200.0,0.1876039,SELL,2021-12-03,267425941,17600,0.19678420238095243,-1.8360604761904875
RE4,-100.0,0.1876039,SELL,2021-12-03,267426893,17500,0.19678420238095243,-0.9180302380952438
RE4,-1500.0,0.1876039,SELL,2021-12-03,267426899,16000,0.19678420238095243,-13.770453571428657
RE4,-5000.0,0.19094759999999997,SELL,2021-12-08,273696045,11000,0.19678420238095243,-29.183011904762303
